Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"Ethical Hacking, Cybersecurity, Linux, Networking",0,MBA,Google ML,Cybersecurity Analyst,102527,7,70.9,Hire,3,2,1,3,0.9496,1,Hire,189
"React, SQL, Java",5,PhD,Google ML,Software Engineer,102333,10,97.2,Hire,4,2,3,4,0.9496,1,Hire,189
"Networking, Linux, Ethical Hacking",3,MBA,AWS Certified,Cybersecurity Analyst,102914,6,79.6,Hire,3,0,1,3,0.9496,1,Hire,189
"Linux, Ethical Hacking, Cybersecurity",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,102480,5,99.4,Hire,4,1,1,4,0.9496,1,Hire,189
"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,102150,3,98.3,Hire,3,1,1,2,0.9496,1,Hire,189
"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,102390,6,69.8,Hire,3,1,1,2,0.9496,1,Hire,189
"SQL, React, C++, Java",8,M.Tech,Google ML,Software Engineer,102924,7,100.0,Hire,3,2,3,2,0.9496,1,Hire,189
"React, C++",9,B.Sc,,Software Engineer,102113,6,100.0,Hire,2,3,3,0,0.9496,1,Hire,189
"NLP, TensorFlow, Python, Pytorch",6,MBA,AWS Certified,AI Researcher,102676,0,89.5,Hire,3,0,0,3,0.9496,1,Hire,189
"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,102247,8,100.0,Hire,3,2,1,3,0.9496,1,Hire,189
"NLP, Pytorch, TensorFlow",8,MBA,Deep Learning Specialization,AI Researcher,102267,6,95.5,Hire,3,1,0,3,0.9496,1,Hire,189
"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,103006,7,82.1,Hire,3,0,0,2,0.9481,1,Hire,202
"Python, Pytorch",5,MBA,Deep Learning Specialization,AI Researcher,103073,10,100.0,Hire,3,1,0,3,0.9481,1,Hire,202
"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,102962,7,82.4,Hire,3,1,1,2,0.9481,1,Hire,202
"Networking, Cybersecurity",7,PhD,,Cybersecurity Analyst,50704,0,86.8,Hire,4,3,1,4,0.9461,1,Hire,205
"Deep Learning, SQL, Python",3,B.Sc,AWS Certified,Data Scientist,50781,6,83.8,Hire,2,0,2,0,0.9461,1,Hire,205
"Pytorch, TensorFlow, NLP",8,PhD,Deep Learning Specialization,AI Researcher,50670,0,100.0,Hire,4,1,0,4,0.9461,1,Hire,205
"Java, SQL",8,M.Tech,Google ML,Software Engineer,50950,8,96.5,Hire,3,2,3,2,0.9457,1,Hire,208
"Linux, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,50784,0,99.6,Hire,3,1,1,3,0.9457,1,Hire,208
"NLP, TensorFlow, Python, Pytorch",8,MBA,,AI Researcher,50831,3,100.0,Hire,3,3,0,3,0.9457,1,Hire,208
"Deep Learning, SQL",1,B.Tech,AWS Certified,Data Scientist,50848,4,50.4,Hire,2,0,2,1,0.9457,1,Hire,208
"Python, SQL",4,PhD,,Data Scientist,84679,10,100.0,Hire,4,3,2,4,0.9433,1,Hire,212
"SQL, Java, C++",9,B.Tech,AWS Certified,Software Engineer,84959,6,100.0,Hire,2,0,3,1,0.9433,1,Hire,212
"Pytorch, Python, TensorFlow",4,MBA,,AI Researcher,84358,2,66.1,Hire,3,3,0,3,0.9433,1,Hire,212
"Cybersecurity, Ethical Hacking",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,84569,7,77.9,Hire,3,1,1,3,0.9433,1,Hire,212
"C++, React, SQL, Java",5,B.Sc,AWS Certified,Software Engineer,84438,10,91.4,Hire,2,0,3,0,0.9433,1,Hire,212
"Linux, Networking",6,PhD,,Cybersecurity Analyst,85029,9,96.2,Hire,4,3,1,4,0.9433,1,Hire,212
"Pytorch, NLP, Python, TensorFlow",1,MBA,,AI Researcher,84774,9,73.0,Hire,3,3,0,3,0.9433,1,Hire,212
"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,84443,3,100.0,Hire,3,2,2,2,0.9433,1,Hire,212
"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,,Data Scientist,84282,6,77.4,Hire,2,3,2,0,0.9433,1,Hire,212
"React, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,85526,1,77.0,Hire,2,1,3,0,0.9397,1,Hire,221
"Ethical Hacking, Linux, Cybersecurity, Networking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,85255,10,100.0,Hire,2,1,1,0,0.9397,1,Hire,221
"Pytorch, NLP, Python",10,MBA,Google ML,AI Researcher,85192,2,99.5,Hire,3,2,0,3,0.9397,1,Hire,221
"C++, Java",2,MBA,Deep Learning Specialization,Software Engineer,85561,2,58.0,Hire,3,1,3,3,0.9397,1,Hire,221
"Ethical Hacking, Networking, Cybersecurity",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,51159,8,100.0,Hire,3,1,1,3,0.9381,1,Hire,225
"Java, SQL, C++, React",10,M.Tech,Google ML,Software Engineer,51113,0,100.0,Hire,3,2,3,2,0.9381,1,Hire,225
"Ethical Hacking, Cybersecurity, Networking",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,50972,1,60.9,Hire,2,1,1,0,0.9381,1,Hire,225
"React, SQL, Java",10,B.Sc,Deep Learning Specialization,Software Engineer,57933,3,96.4,Hire,2,1,3,0,0.935,1,Hire,228
"Machine Learning, Python, Deep Learning, SQL",8,B.Sc,AWS Certified,Data Scientist,57448,0,93.7,Hire,2,0,2,0,0.935,1,Hire,228
"TensorFlow, NLP, Python",9,MBA,Google ML,AI Researcher,57419,7,100.0,Hire,3,2,0,3,0.935,1,Hire,228
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,56891,0,88.1,Hire,3,2,1,2,0.935,1,Hire,228
"SQL, Deep Learning, Machine Learning",6,M.Tech,,Data Scientist,58016,2,87.2,Hire,3,3,2,2,0.935,1,Hire,228
"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,57223,2,100.0,Reject,2,2,2,0,0.935,1,Hire,228
"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,57375,2,45.4,Hire,3,2,1,2,0.935,1,Hire,228
"Ethical Hacking, Networking",9,B.Sc,Google ML,Cybersecurity Analyst,56987,1,100.0,Hire,2,2,1,0,0.935,1,Hire,228
"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,56827,4,63.1,Hire,2,2,1,0,0.935,1,Hire,228
"SQL, Java, C++, React",5,B.Sc,,Software Engineer,57546,4,90.5,Hire,2,3,3,0,0.935,1,Hire,228
"Pytorch, Python",3,MBA,Deep Learning Specialization,AI Researcher,48726,0,51.0,Hire,3,1,0,3,0.9349,1,Hire,238
"Java, SQL, React",5,MBA,,Software Engineer,49176,8,90.2,Hire,3,3,3,3,0.9349,1,Hire,238
"SQL, Java, React",1,M.Tech,AWS Certified,Software Engineer,48917,3,47.6,Hire,3,0,3,2,0.9349,1,Hire,238
"React, SQL, Java",0,B.Tech,AWS Certified,Software Engineer,49006,3,38.2,Reject,2,0,3,1,0.9349,1,Hire,238
"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,48829,5,96.5,Hire,3,1,3,2,0.9349,1,Hire,238
"Machine Learning, Deep Learning, SQL",3,PhD,AWS Certified,Data Scientist,48470,7,93.7,Hire,4,0,2,4,0.9349,1,Hire,238
"TensorFlow, NLP, Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,48906,7,100.0,Hire,3,0,0,2,0.9349,1,Hire,238
"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,48427,1,46.8,Hire,4,0,1,4,0.9349,1,Hire,238
"Networking, Linux, Cybersecurity",1,PhD,Google ML,Cybersecurity Analyst,48456,8,83.0,Hire,4,2,1,4,0.9349,1,Hire,238
"Pytorch, NLP, TensorFlow",7,B.Sc,Deep Learning Specialization,AI Researcher,106421,2,99.7,Hire,2,1,0,0,0.9333,1,Hire,247
"Deep Learning, Machine Learning, SQL",2,PhD,Deep Learning Specialization,Data Scientist,106032,10,93.4,Hire,4,1,2,4,0.9333,1,Hire,247
"Networking, Ethical Hacking",2,PhD,AWS Certified,Cybersecurity Analyst,106309,7,82.8,Hire,4,0,1,4,0.9333,1,Hire,247
"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,106433,0,80.7,Hire,2,0,2,1,0.9333,1,Hire,247
"Ethical Hacking, Linux, Networking, Cybersecurity",3,PhD,,Cybersecurity Analyst,106073,4,79.1,Hire,4,3,1,4,0.9333,1,Hire,247
"NLP, TensorFlow",6,B.Tech,Google ML,AI Researcher,106122,10,100.0,Hire,2,2,0,1,0.9333,1,Hire,247
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,106352,10,100.0,Hire,2,2,0,0,0.9333,1,Hire,247
"Python, Deep Learning, Machine Learning, SQL",3,PhD,Google ML,Data Scientist,77893,10,89.7,Hire,4,2,2,4,0.9314,1,Hire,254
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,,AI Researcher,78872,4,99.5,Hire,2,3,0,0,0.9314,1,Hire,254
"Java, C++, React, SQL",8,PhD,Google ML,Software Engineer,77705,0,100.0,Hire,4,2,3,4,0.9314,1,Hire,254
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,78601,7,93.6,Reject,2,0,2,1,0.9314,1,Hire,254
"Deep Learning, SQL, Machine Learning",6,PhD,,Data Scientist,79100,2,90.7,Hire,4,3,2,4,0.9314,1,Hire,254
"Pytorch, NLP, Python, TensorFlow",10,M.Tech,AWS Certified,AI Researcher,77860,1,100.0,Hire,3,0,0,2,0.9314,1,Hire,254
"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,78344,10,77.7,Hire,3,0,1,3,0.9314,1,Hire,254
"Java, C++, React, SQL",10,PhD,Deep Learning Specialization,Software Engineer,77427,10,93.2,Hire,4,1,3,4,0.9314,1,Hire,254
"Java, React, SQL, C++",3,PhD,,Software Engineer,78794,4,60.5,Hire,4,3,3,4,0.9314,1,Hire,254
"Machine Learning, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,78218,10,100.0,Hire,3,1,2,2,0.9314,1,Hire,254
"SQL, Machine Learning, Python, Deep Learning",6,B.Tech,Deep Learning Specialization,Data Scientist,77388,4,100.0,Hire,2,1,2,1,0.9314,1,Hire,254
"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,78090,6,100.0,Hire,2,0,0,1,0.9314,1,Hire,254
"Linux, Cybersecurity",9,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,78574,7,100.0,Hire,2,1,1,0,0.9314,1,Hire,254
"Pytorch, NLP",0,B.Sc,,AI Researcher,42924,7,40.8,Hire,2,3,0,0,0.9293,1,Hire,267
"Networking, Cybersecurity",7,B.Sc,,Cybersecurity Analyst,42894,0,86.6,Hire,2,3,1,0,0.9293,1,Hire,267
"Python, Pytorch",3,PhD,Deep Learning Specialization,AI Researcher,43097,8,74.5,Hire,4,1,0,4,0.9293,1,Hire,267
"SQL, Machine Learning",5,B.Sc,Deep Learning Specialization,Data Scientist,42998,6,94.6,Hire,2,1,2,0,0.9293,1,Hire,267
"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,42249,7,77.4,Hire,4,1,0,4,0.9172,1,Hire,271
"Pytorch, Python",7,B.Tech,,AI Researcher,42236,6,92.5,Hire,2,3,0,1,0.9172,1,Hire,271
"SQL, Machine Learning",4,MBA,Google ML,Data Scientist,42621,5,78.6,Reject,3,2,2,3,0.9172,1,Hire,271
"TensorFlow, NLP, Python, Pytorch",4,M.Tech,AWS Certified,AI Researcher,42305,10,100.0,Hire,3,0,0,2,0.9172,1,Hire,271
"Python, Deep Learning, Machine Learning, SQL",2,B.Tech,Deep Learning Specialization,Data Scientist,42356,3,67.4,Hire,2,1,2,1,0.9172,1,Hire,271
"Cybersecurity, Networking",3,PhD,,Cybersecurity Analyst,42368,9,85.8,Hire,4,3,1,4,0.9172,1,Hire,271
"Ethical Hacking, Cybersecurity",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,58775,3,95.0,Hire,2,1,1,1,0.9159,1,Hire,277
"SQL, Machine Learning, Python, Deep Learning",2,MBA,AWS Certified,Data Scientist,58438,6,84.9,Hire,3,0,2,3,0.9159,1,Hire,277
"Pytorch, TensorFlow",3,B.Tech,AWS Certified,AI Researcher,58215,9,98.7,Hire,2,0,0,1,0.9159,1,Hire,277
"C++, React, Java, SQL",1,M.Tech,,Software Engineer,58823,3,47.5,Reject,3,3,3,2,0.9159,1,Hire,277
"TensorFlow, Pytorch, NLP",10,M.Tech,AWS Certified,AI Researcher,58221,8,98.6,Hire,3,0,0,2,0.9159,1,Hire,277
"React, C++, Java, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,58910,7,95.5,Hire,3,1,3,2,0.9159,1,Hire,277
"Ethical Hacking, Networking, Linux",1,B.Sc,,Cybersecurity Analyst,58606,10,69.4,Hire,2,3,1,0,0.9159,1,Hire,277
"Networking, Linux, Cybersecurity, Ethical Hacking",6,PhD,Google ML,Cybersecurity Analyst,58947,8,100.0,Hire,4,2,1,4,0.9159,1,Hire,277
"Deep Learning, Machine Learning, SQL",1,B.Tech,,Data Scientist,58515,6,52.7,Hire,2,3,2,1,0.9159,1,Hire,277
"React, Java, SQL",4,MBA,Google ML,Software Engineer,99599,9,100.0,Hire,3,2,3,3,0.9158,1,Hire,286
"React, SQL, Java, C++",2,M.Tech,Deep Learning Specialization,Software Engineer,99600,3,61.8,Hire,3,1,3,2,0.9158,1,Hire,286
"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,99842,4,82.2,Hire,2,0,2,1,0.9158,1,Hire,286
"Machine Learning, Deep Learning, Python",7,B.Tech,Deep Learning Specialization,Data Scientist,99741,0,100.0,Hire,2,1,2,1,0.9158,1,Hire,286
"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,99578,0,44.8,Hire,2,1,2,0,0.9158,1,Hire,286
"SQL, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,99679,5,74.7,Hire,2,0,2,1,0.9158,1,Hire,286
"Deep Learning, Python, Machine Learning",6,B.Tech,Google ML,Data Scientist,89840,2,98.1,Hire,2,2,2,1,0.9125,1,Hire,292
"Deep Learning, SQL, Machine Learning, Python",3,B.Sc,AWS Certified,Data Scientist,89915,9,100.0,Hire,2,0,2,0,0.9125,1,Hire,292
"Python, TensorFlow",1,B.Sc,Deep Learning Specialization,AI Researcher,89941,4,55.6,Hire,2,1,0,0,0.9125,1,Hire,292
"Cybersecurity, Ethical Hacking, Networking, Linux",3,PhD,,Cybersecurity Analyst,105166,5,81.8,Hire,4,3,1,4,0.9112,1,Hire,295
"Linux, Networking, Cybersecurity",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,105232,1,65.5,Hire,3,1,1,2,0.9112,1,Hire,295
"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,104942,5,100.0,Hire,4,0,0,4,0.9112,1,Hire,295
"Python, TensorFlow, Pytorch, NLP",5,PhD,Google ML,AI Researcher,104955,0,66.8,Hire,4,2,0,4,0.9112,1,Hire,295
"React, Java",3,M.Tech,AWS Certified,Software Engineer,105280,9,96.0,Hire,3,0,3,2,0.9112,1,Hire,295
"React, SQL, Java",1,B.Sc,Google ML,Software Engineer,105524,9,82.0,Hire,2,2,3,0,0.9112,1,Hire,295
"Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,104969,8,100.0,Hire,2,1,3,1,0.9112,1,Hire,295
"Deep Learning, Machine Learning",4,PhD,AWS Certified,Data Scientist,103828,0,58.4,Hire,4,0,2,4,0.9075,1,Hire,302
"Cybersecurity, Linux, Ethical Hacking",3,MBA,,Cybersecurity Analyst,103993,9,83.0,Hire,3,3,1,3,0.9075,1,Hire,302
"Python, Machine Learning",8,PhD,Google ML,Data Scientist,103477,9,100.0,Hire,4,2,2,4,0.9075,1,Hire,302
"TensorFlow, Pytorch, NLP, Python",4,B.Sc,AWS Certified,AI Researcher,103738,10,99.5,Hire,2,0,0,0,0.9075,1,Hire,302
"React, Java, C++",6,B.Sc,AWS Certified,Software Engineer,103874,5,100.0,Hire,2,0,3,0,0.9075,1,Hire,302
"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,104087,4,94.8,Hire,3,2,1,3,0.9075,1,Hire,302
"C++, Java, React, SQL",10,MBA,Deep Learning Specialization,Software Engineer,103925,9,100.0,Hire,3,1,3,3,0.9075,1,Hire,302
"Machine Learning, Deep Learning, Python, SQL",6,MBA,,Data Scientist,76085,4,99.8,Hire,3,3,2,3,0.9036,1,Hire,309
"Deep Learning, SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,75861,1,71.5,Reject,4,2,2,4,0.9036,1,Hire,309
"React, Java",5,MBA,,Software Engineer,75717,7,99.5,Hire,3,3,3,3,0.9036,1,Hire,309
"NLP, Pytorch, Python",8,MBA,,AI Researcher,75898,3,98.8,Hire,3,3,0,3,0.9036,1,Hire,309
"Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,75477,6,100.0,Hire,2,1,3,0,0.9036,1,Hire,309
"Networking, Linux, Ethical Hacking, Cybersecurity",4,B.Tech,,Cybersecurity Analyst,75555,0,62.7,Hire,2,3,1,1,0.9036,1,Hire,309
"NLP, TensorFlow, Pytorch, Python",6,B.Tech,Google ML,AI Researcher,75755,0,88.5,Hire,2,2,0,1,0.9036,1,Hire,309
"Python, Pytorch, TensorFlow, NLP",7,B.Sc,Google ML,AI Researcher,75507,7,92.2,Hire,2,2,0,0,0.9036,1,Hire,309
"React, SQL",7,B.Tech,AWS Certified,Software Engineer,75572,0,95.1,Hire,2,0,3,1,0.9036,1,Hire,309
"React, SQL, Java, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,75828,4,100.0,Hire,2,1,3,0,0.9036,1,Hire,309
"TensorFlow, Python, Pytorch",8,PhD,,AI Researcher,75976,1,100.0,Hire,4,3,0,4,0.9036,1,Hire,309
"Ethical Hacking, Networking",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,75810,7,98.8,Hire,2,1,1,1,0.9036,1,Hire,309
"React, C++, Java",10,MBA,Deep Learning Specialization,Software Engineer,76012,1,100.0,Hire,3,1,3,3,0.9036,1,Hire,309
"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,68447,10,98.7,Hire,2,1,0,1,0.8951,1,Hire,322
"Ethical Hacking, Cybersecurity",0,MBA,AWS Certified,Cybersecurity Analyst,68407,4,34.7,Hire,3,0,1,3,0.8951,1,Hire,322
"TensorFlow, Python, NLP, Pytorch",9,M.Tech,Google ML,AI Researcher,68212,9,95.5,Hire,3,2,0,2,0.8951,1,Hire,322
"Cybersecurity, Networking, Linux",8,M.Tech,Google ML,Cybersecurity Analyst,68492,4,100.0,Hire,3,2,1,2,0.8951,1,Hire,322
"NLP, Python, Pytorch, TensorFlow",3,MBA,AWS Certified,AI Researcher,68738,6,89.9,Hire,3,0,0,3,0.8951,1,Hire,322
"React, C++, SQL, Java",9,PhD,Deep Learning Specialization,Software Engineer,68203,9,100.0,Hire,4,1,3,4,0.8951,1,Hire,322
"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,68144,2,100.0,Hire,2,1,3,0,0.8951,1,Hire,322
"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,68682,7,68.8,Hire,4,1,3,4,0.8951,1,Hire,322
"SQL, C++",7,M.Tech,Deep Learning Specialization,Software Engineer,61986,5,100.0,Hire,3,1,3,2,0.8869,1,Hire,330
"TensorFlow, Pytorch, Python, NLP",4,MBA,AWS Certified,AI Researcher,61757,2,85.7,Hire,3,0,0,3,0.8869,1,Hire,330
"Python, NLP, Pytorch, TensorFlow",4,B.Sc,,AI Researcher,61931,8,97.5,Hire,2,3,0,0,0.8869,1,Hire,330
"SQL, Machine Learning, Deep Learning",8,M.Tech,,Data Scientist,61880,8,100.0,Hire,3,3,2,2,0.8869,1,Hire,330
"TensorFlow, Python, NLP",6,B.Tech,Google ML,AI Researcher,88432,4,95.1,Hire,2,2,0,1,0.8851,1,Hire,334
"Python, Pytorch, TensorFlow",1,M.Tech,,AI Researcher,88349,10,75.6,Hire,3,3,0,2,0.8851,1,Hire,334
"NLP, Pytorch",0,B.Sc,Deep Learning Specialization,AI Researcher,87556,10,72.4,Hire,2,1,0,0,0.8851,1,Hire,334
"Deep Learning, Machine Learning",7,M.Tech,AWS Certified,Data Scientist,87562,9,100.0,Hire,3,0,2,2,0.8851,1,Hire,334
"Java, React, SQL, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,88155,8,100.0,Hire,2,1,3,1,0.8851,1,Hire,334
"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,87988,1,83.8,Hire,4,2,0,4,0.8851,1,Hire,334
"NLP, TensorFlow, Pytorch",7,MBA,,AI Researcher,88358,4,100.0,Hire,3,3,0,3,0.8851,1,Hire,334
"Python, TensorFlow",5,B.Tech,Google ML,AI Researcher,88058,0,74.7,Hire,2,2,0,1,0.8851,1,Hire,334
"Python, Pytorch, NLP",0,PhD,Google ML,AI Researcher,88256,9,73.0,Hire,4,2,0,4,0.8851,1,Hire,334
"Networking, Linux, Ethical Hacking, Cybersecurity",10,B.Tech,Google ML,Cybersecurity Analyst,61659,10,99.0,Hire,2,2,1,1,0.884,1,Hire,343
"Linux, Ethical Hacking, Cybersecurity, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,61624,1,94.0,Hire,2,0,1,1,0.884,1,Hire,343
"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,61633,4,100.0,Hire,3,1,1,3,0.884,1,Hire,343
"React, SQL",8,M.Tech,AWS Certified,Software Engineer,46717,6,100.0,Hire,3,0,3,2,0.8838,1,Hire,346
"SQL, Deep Learning, Python",5,MBA,Deep Learning Specialization,Data Scientist,46669,5,98.2,Hire,3,1,2,3,0.8838,1,Hire,346
"Java, C++, SQL, React",4,B.Tech,,Software Engineer,46950,7,95.2,Hire,2,3,3,1,0.8838,1,Hire,346
"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,46848,0,91.0,Hire,2,0,0,1,0.8838,1,Hire,346
"SQL, C++",0,B.Tech,Google ML,Software Engineer,46679,5,43.5,Hire,2,2,3,1,0.8838,1,Hire,346
"SQL, Java, C++",3,M.Tech,,Software Engineer,46781,6,76.0,Hire,3,3,3,2,0.8838,1,Hire,346
"Ethical Hacking, Linux",9,MBA,AWS Certified,Cybersecurity Analyst,46896,8,100.0,Hire,3,0,1,3,0.8838,1,Hire,346
"Python, Machine Learning, SQL",6,PhD,,Data Scientist,46741,1,79.6,Reject,4,3,2,4,0.8838,1,Hire,346
"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,47001,10,82.9,Hire,3,1,1,2,0.8838,1,Hire,346
"Deep Learning, SQL, Python, Machine Learning",4,M.Tech,,Data Scientist,60868,7,98.0,Hire,3,3,2,2,0.8827,1,Hire,355
"SQL, Java, React, C++",5,M.Tech,Deep Learning Specialization,Software Engineer,60720,7,100.0,Hire,3,1,3,2,0.8827,1,Hire,355
"Networking, Ethical Hacking, Cybersecurity, Linux",2,MBA,,Cybersecurity Analyst,60745,0,41.1,Hire,3,3,1,3,0.8827,1,Hire,355
"Pytorch, TensorFlow",9,B.Sc,Google ML,AI Researcher,61090,7,94.8,Hire,2,2,0,0,0.8827,1,Hire,355
"Networking, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,61038,9,97.8,Hire,3,2,1,2,0.8827,1,Hire,355
"TensorFlow, NLP, Python, Pytorch",6,B.Sc,Deep Learning Specialization,AI Researcher,60828,3,94.5,Hire,2,1,0,0,0.8827,1,Hire,355
"Linux, Cybersecurity",8,MBA,AWS Certified,Cybersecurity Analyst,60790,7,100.0,Hire,3,0,1,3,0.8827,1,Hire,355
"NLP, TensorFlow, Python, Pytorch",1,MBA,Google ML,AI Researcher,61309,2,55.7,Hire,3,2,0,3,0.8827,1,Hire,355
"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,99238,1,90.6,Hire,3,2,0,3,0.8791,1,Hire,363
"Pytorch, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,99429,9,72.1,Hire,3,0,0,2,0.8791,1,Hire,363
"Ethical Hacking, Networking, Cybersecurity, Linux",8,B.Sc,,Cybersecurity Analyst,99384,1,98.5,Hire,2,3,1,0,0.8791,1,Hire,363
"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,99288,4,99.5,Hire,2,2,3,1,0.8791,1,Hire,363
"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,99118,1,100.0,Hire,3,2,0,3,0.8791,1,Hire,363
"Python, Machine Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,61332,0,19.2,Reject,3,1,2,2,0.8784,1,Hire,368
"Java, React, SQL, C++",8,M.Tech,Google ML,Software Engineer,61601,7,100.0,Hire,3,2,3,2,0.8784,1,Hire,368
"Python, Deep Learning, SQL, Machine Learning",1,B.Tech,AWS Certified,Data Scientist,61616,9,81.7,Hire,2,0,2,1,0.8784,1,Hire,368
"Python, Deep Learning, SQL, Machine Learning",9,PhD,,Data Scientist,45043,5,100.0,Hire,4,3,2,4,0.8775,1,Hire,371
"Python, TensorFlow, Pytorch, NLP",8,PhD,AWS Certified,AI Researcher,44783,10,100.0,Hire,4,0,0,4,0.8775,1,Hire,371
"Networking, Ethical Hacking, Cybersecurity",8,MBA,,Cybersecurity Analyst,44474,1,84.9,Hire,3,3,1,3,0.8775,1,Hire,371
"NLP, Pytorch, Python",2,B.Sc,AWS Certified,AI Researcher,45134,10,96.8,Hire,2,0,0,0,0.8775,1,Hire,371
"Ethical Hacking, Linux",6,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,83470,2,92.1,Hire,2,1,1,1,0.8774,1,Hire,375
"Java, SQL",2,M.Tech,AWS Certified,Software Engineer,83473,10,91.9,Hire,3,0,3,2,0.8774,1,Hire,375
"Networking, Linux, Cybersecurity, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,83474,0,100.0,Hire,3,1,1,3,0.8774,1,Hire,375
"SQL, Java",8,B.Tech,AWS Certified,Software Engineer,83833,8,99.3,Hire,2,0,3,1,0.8774,1,Hire,375
"TensorFlow, Pytorch",2,B.Sc,,AI Researcher,62312,1,44.0,Hire,2,3,0,0,0.8755,1,Hire,379
"C++, Java, SQL",2,MBA,Google ML,Software Engineer,62255,7,74.9,Hire,3,2,3,3,0.8755,1,Hire,379
"Java, React, C++",1,PhD,,Software Engineer,62647,3,40.6,Hire,4,3,3,4,0.8755,1,Hire,379
"Cybersecurity, Ethical Hacking, Linux, Networking",7,PhD,,Cybersecurity Analyst,62406,1,87.7,Hire,4,3,1,4,0.8755,1,Hire,379
"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,62708,5,42.8,Reject,3,2,1,3,0.8755,1,Hire,379
